case,regime,train_model,test_model,seed,reward_profile,agent,train_steps,eval_steps,steps,final_cumulative_objective_cost,final_cumulative_cost,total_reward,final_soc,total_terminal_soc_penalty,final_terminal_soc_deviation,soc_midband_dwell_fraction,soc_target_tracking_mae,soc_upper_dwell_fraction,soc_lower_dwell_fraction,soc_upper_parking_fraction,soc_lower_parking_fraction,peak_price_mean_discharge_limit_ratio,valley_price_mean_charge_limit_ratio,peak_price_discharge_action_fraction,valley_price_charge_action_fraction,peak_price_low_discharge_limit_dwell_fraction,infeasible_action_dwell_fraction,total_battery_throughput_kwh,total_battery_loss_kwh,total_battery_stress_kwh,mean_grid_import_mw,min_voltage_worst,max_line_loading_peak,max_line_current_peak_ka,final_temperature_c,shield_activation_fraction,shield_reserve_activation_fraction,shield_boundary_activation_fraction,shield_terminal_activation_fraction,mean_abs_shield_delta,shield_material_activation_fraction,shield_strong_activation_fraction,inventory_teacher_activation_fraction,inventory_teacher_boundary_activation_fraction,inventory_teacher_terminal_activation_fraction,inventory_teacher_reserve_activation_fraction,mean_abs_inventory_teacher_gap,validation_best_metric_value,validation_best_total_reward,validation_best_objective_cost,validation_best_checkpoint_step,learning_rate,offline_dataset,offline_dataset_controller_sources,offline_dataset_max_transitions,bc_pretrain_gradient_steps,bc_pretrain_batch_size,bc_pretrain_learning_rate,shield_delta_penalty_coef,shield_delta_penalty_start,shield_delta_penalty_end,shield_delta_penalty_warmup_steps,online_safe_bc_gradient_steps,online_safe_bc_batch_size,online_safe_bc_max_samples,online_safe_bc_learning_rate,online_safe_bc_replay_rows,online_safe_bc_actor_gradient_steps_applied,online_safe_bc_inventory_teacher_rows,online_safe_bc_intervention_rows,online_safe_bc_mean_sample_weight,effective_online_safe_bc_gradient_steps,effective_online_safe_bc_priority_scale,offline_bc_dataset_rows,offline_bc_replay_seeded_transitions,offline_bc_actor_gradient_steps,offline_bc_actor_batch_size,offline_bc_initial_actor_mse,offline_bc_final_actor_mse,causal_heuristic_warmstart_steps,causal_heuristic_warmstart_policy,causal_heuristic_warmstart_steps_applied,eval_full_horizon,mixed_fidelity_stage_fractions,mixed_fidelity_stage_learning_rates,resolved_train_stages,resolved_train_stage_count,resolved_train_stage_fractions,resolved_train_stage_steps,resolved_train_stage_learning_rates,mean_abs_battery_action_delta,total_action_rate_penalty,peak_price_step_fraction,peak_price_mean_soc,valley_price_step_fraction,mean_charge_headroom_ratio,mean_discharge_headroom_ratio,mean_battery_action_infeasible_gap,mean_battery_internal_clip_gap_w,total_battery_action_infeasible_penalty,internal_clip_dwell_fraction,power_flow_failure_steps,tensorboard_log_dir,tensorboard_run_name,action_smoothing_coef,action_max_delta,action_rate_penalty,battery_feasibility_aware,battery_infeasible_penalty,symmetric_battery_action,shield_enabled,shield_soc_soft_buffer_fraction,shield_soc_hard_buffer_fraction,shield_peak_reserve_min_fraction,shield_hard_pullback_action,shield_terminal_closure_horizon_fraction,shield_terminal_closure_urgency_soc,rule_guidance_mix,rule_guidance_decay_steps,rule_guidance_policy,protocol_profile,ieee33_sac_default_protocol_applied,ieee33_full_fair_protocol_applied,ieee33_full_fair_closure_protocol_applied,train_disable_explicit_battery_degradation_penalties,train_year,eval_year,train_episode_days,eval_config_days,train_window_start,train_window_end,eval_window_start,eval_window_end,train_random_start_within_year,train_validation_days,train_validation_offset_days_within_year,train_validation_window_count,train_validation_checkpoint_every,train_validation_metric,train_validation_terminal_penalty_weight,train_validation_boundary_dwell_weight,train_validation_infeasible_dwell_weight,train_validation_peak_reserve_weight,train_validation_peak_discharge_limit_threshold,train_validation_gate_dwell_threshold,train_validation_gate_violation_weight,train_validation_gate_peak_reserve_dwell_threshold,train_validation_shield_mean_delta_weight,train_validation_shield_material_dwell_weight,train_validation_shield_strong_dwell_weight,train_validation_final_soc_deviation_weight,train_validation_shield_mean_delta_threshold,train_validation_shield_material_dwell_threshold,train_validation_shield_strong_dwell_threshold,train_validation_midband_dwell_weight,train_validation_soc_target_tracking_weight,train_validation_peak_discharge_headroom_weight,train_validation_valley_charge_weight,train_validation_peak_discharge_weight,source_file,p4_selected,model_order
ieee33,network_stress,simple,simple,42,paper_balanced,sac,100000,35040,35040,11598321.917342622,11589909.984117826,-10696428.152049188,0.1004341792776105,7830.274384181524,0.3995658207223894,0.267351598173516,0.268256915165015,0.197431506849315,0.0503139269406392,0.3021404109589041,0.2109018264840182,0.9982049982336008,0.5142649218373984,0.750513698630137,0.3864970645792563,0.0,0.0833618721461187,581658.840613906,0.0,0.0,3.255848409173662,0.8524870296419443,138.77782865216082,0.346944571630402,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3119433900921873,4068844.3193667782,-887417.1296952217,972813.9195180832,72500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.3474990129470823,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0472902871215568,82.85258303696756,0.1666666666666666,0.5006481875765676,0.5833333333333334,0.7085057359898091,0.8019574340638358,0.013312497802959,0.0,-466.4699230156839,0.0,0,/data/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed42,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_42/summary.csv,True,0
ieee33,network_stress,simple,thevenin_loss_only,42,paper_balanced,sac,100000,35040,35040,11562939.169705776,11554542.433883391,-10888777.435388412,0.1000072741788856,7839.837058392962,0.3999927258211143,0.1428652968036529,0.3132358420435634,0.2498287671232876,0.0678652968036529,0.4685216894977169,0.1896118721461187,0.9901403468911144,0.4496104736143879,0.8785958904109589,0.3934442270058708,0.0022260273972602,0.1759132420091324,530416.2218289044,2648.2542160083703,0.0,3.2558063295591677,0.8502196546238008,141.01198314911704,0.3525299578727926,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2750986609775249,4068844.3193667782,-887417.1296952217,972813.9195180832,72500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.3474990129470823,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.046274922513504,81.07366424365901,0.1666666666666666,0.6039600108911133,0.5833333333333334,0.5533944460836525,0.8240440937690238,0.0190530282809913,4.72578286422414e-07,-667.6181109659374,0.0,0,/data/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed42,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_42/summary.csv,True,1
ieee33,network_stress,simple,thevenin_rint_only,42,paper_balanced,sac,100000,35040,35040,11557996.99479527,11549588.1800794,-10892032.230977088,0.1000044479472353,7839.900365981927,0.3999955520527646,0.1491438356164383,0.3117487646449213,0.2345319634703196,0.071033105022831,0.4394977168949772,0.2152397260273972,0.9938007575230536,0.4780554756983397,0.8664383561643836,0.3879647749510763,0.0010273972602739,0.1603310502283105,546312.5771519628,2260.177273572176,0.0,3.2557587769652976,0.8514925416245192,139.6674017562846,0.3491685043907114,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2837229928222166,4068844.3193667782,-887417.1296952217,972813.9195180832,72500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.3474990129470823,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0459199261162951,80.45171055574903,0.1666666666666666,0.61413805090917,0.5833333333333334,0.58145270428262,0.7988286906741687,0.0179820742330526,4.480110870555078e-07,-630.0918811261654,0.0,0,/data/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed42,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_42/summary.csv,True,2
ieee33,network_stress,simple,thevenin_full,42,paper_balanced,sac,100000,35040,35040,11560172.605005477,11551740.558212545,-10924106.678940108,0.1000099870130296,7839.776290908137,0.3999900129869704,0.1345319634703196,0.3183956213628211,0.2541095890410959,0.0718321917808219,0.4872146118721461,0.1939497716894977,0.989192493850236,0.4514562279216074,0.8791095890410959,0.3968688845401174,0.0030821917808219,0.1786529680365297,529311.1020279583,5412.546560309543,4416.967196479323,3.2561257164864,0.8502567735431478,140.97272435011982,0.3524318108752995,30.20561880189556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2789958227870876,4068844.3193667782,-887417.1296952217,972813.9195180832,72500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.3474990129470823,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0464934092302345,81.45645297137091,0.1666666666666666,0.6184254329572818,0.5833333333333334,0.5360042880031309,0.8193418288562095,0.0193445210188805,4.862946327730911e-07,-677.8320165015757,0.0,0,/data/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed42,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_42/summary.csv,True,3
ieee33,network_stress,simple,simple,44,paper_balanced,sac,100000,35040,35040,11911780.657501563,11903393.027017174,-10729948.46998444,0.8999999999995768,7839.99999999052,0.3999999999995768,0.1724600456621004,0.2923160505606673,0.202283105022831,0.0298515981735159,0.3878139269406392,0.1813926940639269,0.9997714851177992,0.572332762837468,0.0837328767123287,0.2075831702544031,0.0,0.0286529680365296,547630.4844005185,0.0,0.0,3.258105518776938,0.8492098676449674,142.2991004449538,0.3557477511123845,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069201247787611,2905127.3108921577,-883281.3991330354,999366.6549241936,90000,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.2887572050094604,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0486410961119345,85.21920038810933,0.1666666666666666,0.6600508344806526,0.5833333333333334,0.6283203397350705,0.8349311815848456,0.0056580468225526,0.0,-198.25796066224572,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed44,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_44_summary.csv,True,0
ieee33,network_stress,simple,thevenin_loss_only,44,paper_balanced,sac,100000,35040,35040,11863342.676838636,11854906.694347024,-10588682.005694697,0.8999999999999999,7839.999999999998,0.3999999999999999,0.2102168949771689,0.2679064151720036,0.0800513698630137,0.0545376712328767,0.2757705479452055,0.1775114155251141,0.9841609973446084,0.66354334285031,0.2260273972602739,0.3315557729941291,0.0,0.0176655251141552,572301.4380384113,2368.1053570553845,0.0,3.2581950562484243,0.8439412771171569,147.73104960814177,0.3693276240203543,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461050596556623,2905127.3108921577,-883281.3991330354,999366.6549241936,90000,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.2887572050094604,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0489592727856842,85.77664592051879,0.1666666666666666,0.4876904901149045,0.5833333333333334,0.7448663698683825,0.8304716837606443,0.0041929042321889,1.4350633837641138e-07,-146.91936429589987,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed44,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_44_summary.csv,True,1
ieee33,network_stress,simple,thevenin_rint_only,44,paper_balanced,sac,100000,35040,35040,11863647.274902277,11855215.68192625,-10610337.374582272,0.8999999999995858,7839.999999990722,0.3999999999995858,0.2,0.2715116403047183,0.085445205479452,0.0596461187214611,0.2793664383561643,0.1838184931506849,0.983570823236568,0.6603671158219341,0.2205479452054794,0.3315068493150685,0.0,0.018607305936073,572474.2291668414,1911.874686866476,0.0,3.258127361037992,0.8441375200247031,147.52125320296764,0.3688031330074191,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2528385298069062,2905127.3108921577,-883281.3991330354,999366.6549241936,90000,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.2887572050094604,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0489900038670243,85.83048677502666,0.1666666666666666,0.4935368914313705,0.5833333333333334,0.7405509829957404,0.8234651869167103,0.0044111251565266,1.6237749993701657e-07,-154.56582548469305,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed44,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_44_summary.csv,True,2
ieee33,network_stress,simple,thevenin_full,44,paper_balanced,sac,100000,35040,35040,11858917.18143766,11850454.905798247,-10588874.957097672,0.8999999999999996,7839.999999999991,0.3999999999999996,0.2088755707762557,0.2680462080219087,0.0786529680365296,0.0517408675799086,0.2766267123287671,0.1765410958904109,0.9828536804054612,0.6618288425328059,0.2356164383561644,0.336399217221135,0.0,0.017208904109589,574003.6833526213,4662.5388182055,823.2839373383385,3.258436224039273,0.8442544808695882,147.39624074805872,0.3684906018701466,32.140653485703666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2458461479861427,2905127.3108921577,-883281.3991330354,999366.6549241936,90000,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.2887572050094604,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0489572672501762,85.77313222230877,0.1666666666666666,0.4833910018304347,0.5833333333333334,0.7452118113242142,0.8311209592562765,0.0041410297251064,1.5191342686206813e-07,-145.10168156772852,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed44,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_44_summary.csv,True,3
ieee33,network_stress,simple,simple,81,paper_balanced,sac,100000,35040,35040,11795839.918082112,11787476.154537264,-11134635.473301882,0.9,7840.000000000001,0.4,0.084560502283105,0.3460180119816289,0.3703196347031963,0.15662100456621,0.5250570776255707,0.2585901826484018,1.0,0.6647852754612594,0.0,0.134197651663405,0.0,0.1953767123287671,523763.5448480925,0.0,0.0,3.257999674356697,0.849282768388552,142.003818909981,0.3550095472749525,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3832786266428852,8156964.426038718,-920544.5612598952,990499.4701394384,7500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.399237036705017,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0435538646785253,76.30637091677636,0.1666666666666666,0.8999474815306329,0.5833333333333334,0.4909755135824293,0.7506375950577754,0.0188855094699078,0.0,-661.7482518255711,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed81,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_81_summary.csv,True,0
ieee33,network_stress,simple,thevenin_loss_only,81,paper_balanced,sac,100000,35040,35040,11780789.47459721,11772390.467320085,-11064434.581769258,0.8999999999966585,7839.99999992515,0.3999999999966585,0.0851883561643835,0.3418449616262403,0.3114440639269406,0.1457762557077625,0.5059931506849316,0.2639269406392694,0.9979595328349466,0.7441424983629907,0.0421232876712328,0.2112035225048923,0.0010273972602739,0.2393264840182648,527195.4594714815,3181.181772747019,0.0,3.2586348747078078,0.8492553265529185,142.03289695316124,0.3550822423829031,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3439937294783899,8156964.426038718,-920544.5612598952,990499.4701394384,7500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.399237036705017,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0495237249820296,86.76556616851595,0.1666666666666666,0.8847498428417799,0.5833333333333334,0.5172674038993634,0.7478267822585605,0.0278553311151694,6.971999328588959e-07,-976.0508022755384,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed81,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_81_summary.csv,True,1
ieee33,network_stress,simple,thevenin_rint_only,81,paper_balanced,sac,100000,35040,35040,11779319.024386346,11770921.24714879,-11067701.06282222,0.8999999999981217,7839.999999957928,0.3999999999981217,0.0867009132420091,0.3413740542387493,0.3311358447488584,0.1452340182648401,0.5072488584474886,0.2599885844748858,0.9979941682482604,0.7433772342470124,0.033904109589041,0.2173679060665362,0.0010273972602739,0.2503995433789954,532166.1075294091,2561.113007059649,0.0,3.2585807365553485,0.8492789806504911,142.00783240145492,0.3550195810036372,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345518531664458,8156964.426038718,-920544.5612598952,990499.4701394384,7500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.399237036705017,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0485510484526358,85.06143688901794,0.1666666666666666,0.8822038253203864,0.5833333333333334,0.5126705345598429,0.7516148732421953,0.0284644969395621,7.132223420996159e-07,-997.3959727622567,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed81,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_81_summary.csv,True,2
ieee33,network_stress,simple,thevenin_full,81,paper_balanced,sac,100000,35040,35040,11778449.279273588,11770010.71245641,-11073324.696475066,0.9,7840.000000000001,0.4,0.0835616438356164,0.3428975522539441,0.3101883561643835,0.1447203196347032,0.513013698630137,0.2626141552511415,0.9986684476257834,0.74497892474087,0.0421232876712328,0.2141878669275929,0.0010273972602739,0.2390410958904109,526721.4540133614,6274.919585657586,4548.083653939568,3.259003853646517,0.8492657349733959,142.02186775941627,0.3550546693985407,31.014115032369627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344778645165439,8156964.426038718,-920544.5612598952,990499.4701394384,7500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.399237036705017,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0496382038870222,86.96613321006299,0.1666666666666666,0.888784005300792,0.5833333333333334,0.5113376458693768,0.7481808084164364,0.0280424793650604,6.783271194652368e-07,-982.6084769517184,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed81,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_81_summary.csv,True,3
ieee33,network_stress,simple,simple,83,paper_balanced,sac,100000,35040,35040,11920179.525934327,11911809.328777324,-10886571.476133302,0.899999999999994,7839.999999999867,0.399999999999994,0.1069063926940639,0.3273015365919986,0.2783675799086758,0.0202910958904109,0.523230593607306,0.1849029680365296,0.7302399047783837,0.3784181338168442,0.1934931506849315,0.3259784735812133,0.2390410958904109,0.05662100456621,530197.15700428,0.0,0.0,3.258448877227955,0.842306696089924,149.4379127445925,0.3735947818614812,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3662011177188155,4735355.9849611,-900921.9707958208,1001141.4960149064,97500,0.0003,,,0,0,256,0.0,0.1,0.01,0.1,30000,32,256,4000,0.0001,4000,16,0,0,1.332871437072754,16,0.984375,0,0,0,256,,,0,blended,0,1,,,simple,1,1.0,100000,0.0003,0.0532847364463675,93.35485825403596,0.1666666666666666,0.5673875849140648,0.5833333333333334,0.5002356609529663,0.832271476682217,0.0129832052297201,0.0,-454.9315112493932,0.0,0,/home/liujiansong/workitem/microgrid_sim/results/tensorboard,ieee33_network_stress_simple_seed83,0.5,0.1,0.05,1,-1.0,1,0,0.18,0.1,0.25,0.25,0.35,0.2,0.0,0,rule,auto,1,0,0,0,2023,2024,30,365,2023-01-01 00:00:00,2023-01-30 23:45:00,2024-01-01 00:00:00,2024-12-30 23:45:00,1,30,"0,91,182,273",4,2500,inventory_value_gate_shield,1.0,20000.0,20000.0,10000.0,0.25,0.05,500000.0,-1.0,100000.0,50000.0,100000.0,30000.0,0.05,0.6,0.2,20000.0,10000.0,15000.0,5000.0,5000.0,results/ieee33/network_stress/simple/seed_83_summary.csv,True,0
